Date : 2025-11-05 09:21:05
Directory : e:\web_project2\my-yds
Total : 148 files,  22103 codes, 771 comments, 1655 blanks, all 24529 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |      8,270 |          0 |          4 |      8,274 |
| TypeScript JSX     |         73 |      6,960 |        380 |        716 |      8,056 |
| TypeScript         |         32 |      4,178 |        280 |        386 |      4,844 |
| Markdown           |          5 |      1,695 |          0 |        357 |      2,052 |
| JavaScript         |         21 |        533 |         74 |        120 |        727 |
| PostCSS            |          2 |        337 |         37 |         71 |        445 |
| XML                |          6 |         92 |          0 |          0 |         92 |
| JSON with Comments |          1 |         33 |          0 |          0 |         33 |
| Batch              |          1 |          4 |          0 |          1 |          5 |
| HTML               |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                         |        148 |     22,103 |        771 |      1,655 |     24,529 |
| . (Files)                                                                 |         16 |     10,007 |         10 |        373 |     10,390 |
| public                                                                    |          8 |        113 |          0 |          0 |        113 |
| src                                                                       |        124 |     11,983 |        761 |      1,282 |     14,026 |
| src\app                                                                   |         25 |      2,102 |        150 |        254 |      2,506 |
| src\app (Files)                                                           |          5 |        639 |         69 |         89 |        797 |
| src\app\about                                                             |          1 |         90 |          1 |          9 |        100 |
| src\app\abstract                                                          |          1 |          5 |          4 |          3 |         12 |
| src\app\academic-terms                                                    |          1 |          5 |          5 |          3 |         13 |
| src\app\all-words                                                         |          1 |          5 |          5 |          3 |         13 |
| src\app\business                                                          |          1 |          5 |          5 |          3 |         13 |
| src\app\category                                                          |          1 |          9 |          2 |          2 |         13 |
| src\app\conjunctions                                                      |          1 |          5 |          4 |          3 |         12 |
| src\app\contact                                                           |          1 |        116 |          1 |         12 |        129 |
| src\app\login                                                             |          1 |         41 |          2 |          6 |         49 |
| src\app\nature                                                            |          1 |          5 |          4 |          3 |         12 |
| src\app\official                                                          |          1 |          5 |          4 |          3 |         12 |
| src\app\phrasal                                                           |          1 |          5 |          4 |          3 |         12 |
| src\app\phrasal2                                                          |          1 |          5 |          4 |          3 |         12 |
| src\app\privacy                                                           |          1 |        213 |          1 |         15 |        229 |
| src\app\profile                                                           |          1 |        153 |          5 |         15 |        173 |
| src\app\protected-page                                                    |          1 |         31 |          2 |          4 |         37 |
| src\app\register                                                          |          1 |         35 |          2 |          6 |         43 |
| src\app\social-sciences                                                   |          1 |          5 |          4 |          3 |         12 |
| src\app\upload-flashcards                                                 |          2 |        725 |         22 |         66 |        813 |
| src\components                                                            |         54 |      4,972 |        292 |        559 |      5,823 |
| src\components (Files)                                                    |         24 |      2,250 |        148 |        258 |      2,656 |
| src\components\auth                                                       |          3 |        304 |          8 |         37 |        349 |
| src\components\category                                                   |          7 |        295 |         41 |         32 |        368 |
| src\components\flashcards                                                 |          7 |      1,334 |         59 |        145 |      1,538 |
| src\components\home                                                       |          5 |        309 |          3 |         36 |        348 |
| src\components\layout                                                     |          2 |        209 |          7 |         12 |        228 |
| src\components\pages                                                      |          1 |         78 |         26 |         12 |        116 |
| src\components\ui                                                         |          5 |        193 |          0 |         27 |        220 |
| src\config                                                                |          1 |        130 |         18 |         16 |        164 |
| src\contexts                                                              |          3 |        142 |         18 |         33 |        193 |
| src\data                                                                  |          9 |      2,957 |          8 |         77 |      3,042 |
| src\data (Files)                                                          |          6 |      2,921 |          6 |         74 |      3,001 |
| src\data\flashcards                                                       |          3 |         36 |          2 |          3 |         41 |
| src\firebase                                                              |          5 |        248 |         36 |         51 |        335 |
| src\hooks                                                                 |          3 |        527 |         55 |         95 |        677 |
| src\lib                                                                   |         12 |        569 |        150 |        130 |        849 |
| src\lib (Files)                                                           |          3 |         67 |         19 |         20 |        106 |
| src\lib\firebase                                                          |          7 |        443 |        112 |         95 |        650 |
| src\lib\utils                                                             |          2 |         59 |         19 |         15 |         93 |
| src\services                                                              |          1 |         16 |          2 |          4 |         22 |
| src\styles                                                                |          2 |        168 |         10 |         25 |        203 |
| src\types                                                                 |          4 |         38 |          5 |          7 |         50 |
| src\utils                                                                 |          5 |        114 |         17 |         31 |        162 |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                  | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\web_project2\my-yds\.eslintrc.js                                       | JavaScript         |          6 |          0 |          1 |          7 |
| e:\web_project2\my-yds\README.md                                          | Markdown           |         23 |          0 |         14 |         37 |
| e:\web_project2\my-yds\REFACTORING_COMPLETED.md                           | Markdown           |        252 |          0 |         85 |        337 |
| e:\web_project2\my-yds\REFACTORING_PLAN.md                                | Markdown           |      1,332 |          0 |        251 |      1,583 |
| e:\web_project2\my-yds\eslint.config.mjs                                  | JavaScript         |         12 |          0 |          5 |         17 |
| e:\web_project2\my-yds\firebase.json                                      | JSON               |         41 |          0 |          0 |         41 |
| e:\web_project2\my-yds\install-deps.bat                                   | Batch              |          4 |          0 |          1 |          5 |
| e:\web_project2\my-yds\install-firebase-deps.md                           | Markdown           |         10 |          0 |          6 |         16 |
| e:\web_project2\my-yds\next-sitemap.config.js                             | JavaScript         |          7 |          1 |          1 |          9 |
| e:\web_project2\my-yds\next.config.js                                     | JavaScript         |         11 |          8 |          2 |         21 |
| e:\web_project2\my-yds\package-lock.json                                  | JSON               |      8,136 |          0 |          1 |      8,137 |
| e:\web_project2\my-yds\package.json                                       | JSON               |         39 |          0 |          1 |         40 |
| e:\web_project2\my-yds\postcss.config.mjs                                 | JavaScript         |          6 |          1 |          2 |          9 |
| e:\web_project2\my-yds\public\file.svg                                    | XML                |          1 |          0 |          0 |          1 |
| e:\web_project2\my-yds\public\globe.svg                                   | XML                |          1 |          0 |          0 |          1 |
| e:\web_project2\my-yds\public\google68f644f5bf44f2a6.html                 | HTML               |          1 |          0 |          0 |          1 |
| e:\web_project2\my-yds\public\next.svg                                    | XML                |          1 |          0 |          0 |          1 |
| e:\web_project2\my-yds\public\site.webmanifest                            | JSON               |         20 |          0 |          0 |         20 |
| e:\web_project2\my-yds\public\sitemap1.xml                                | XML                |         87 |          0 |          0 |         87 |
| e:\web_project2\my-yds\public\vercel.svg                                  | XML                |          1 |          0 |          0 |          1 |
| e:\web_project2\my-yds\public\window.svg                                  | XML                |          1 |          0 |          0 |          1 |
| e:\web_project2\my-yds\src\app\about\page.tsx                             | TypeScript JSX     |         90 |          1 |          9 |        100 |
| e:\web_project2\my-yds\src\app\abstract\page.tsx                          | TypeScript JSX     |          5 |          4 |          3 |         12 |
| e:\web_project2\my-yds\src\app\academic-terms\page.tsx                    | TypeScript JSX     |          5 |          5 |          3 |         13 |
| e:\web_project2\my-yds\src\app\all-words\page.tsx                         | TypeScript JSX     |          5 |          5 |          3 |         13 |
| e:\web_project2\my-yds\src\app\business\page.tsx                          | TypeScript JSX     |          5 |          5 |          3 |         13 |
| e:\web_project2\my-yds\src\app\category\page.tsx                          | TypeScript JSX     |          9 |          2 |          2 |         13 |
| e:\web_project2\my-yds\src\app\conjunctions\page.tsx                      | TypeScript JSX     |          5 |          4 |          3 |         12 |
| e:\web_project2\my-yds\src\app\contact\page.tsx                           | TypeScript JSX     |        116 |          1 |         12 |        129 |
| e:\web_project2\my-yds\src\app\globals.css                                | PostCSS            |        255 |         33 |         56 |        344 |
| e:\web_project2\my-yds\src\app\layout.tsx                                 | TypeScript JSX     |        246 |         15 |         10 |        271 |
| e:\web_project2\my-yds\src\app\login\page.tsx                             | TypeScript JSX     |         41 |          2 |          6 |         49 |
| e:\web_project2\my-yds\src\app\nature\page.tsx                            | TypeScript JSX     |          5 |          4 |          3 |         12 |
| e:\web_project2\my-yds\src\app\not-found.tsx                              | TypeScript JSX     |         11 |          3 |          3 |         17 |
| e:\web_project2\my-yds\src\app\official\page.tsx                          | TypeScript JSX     |          5 |          4 |          3 |         12 |
| e:\web_project2\my-yds\src\app\page.tsx                                   | TypeScript JSX     |        104 |         13 |         15 |        132 |
| e:\web_project2\my-yds\src\app\phrasal2\page.tsx                          | TypeScript JSX     |          5 |          4 |          3 |         12 |
| e:\web_project2\my-yds\src\app\phrasal\page.tsx                           | TypeScript JSX     |          5 |          4 |          3 |         12 |
| e:\web_project2\my-yds\src\app\privacy\page.tsx                           | TypeScript JSX     |        213 |          1 |         15 |        229 |
| e:\web_project2\my-yds\src\app\profile\page.tsx                           | TypeScript JSX     |        153 |          5 |         15 |        173 |
| e:\web_project2\my-yds\src\app\protected-page\page.tsx                    | TypeScript JSX     |         31 |          2 |          4 |         37 |
| e:\web_project2\my-yds\src\app\register\page.tsx                          | TypeScript JSX     |         35 |          2 |          6 |         43 |
| e:\web_project2\my-yds\src\app\sitemap.ts                                 | TypeScript         |         23 |          5 |          5 |         33 |
| e:\web_project2\my-yds\src\app\social-sciences\page.tsx                   | TypeScript JSX     |          5 |          4 |          3 |         12 |
| e:\web_project2\my-yds\src\app\upload-flashcards\layout.tsx               | TypeScript JSX     |         13 |          0 |          2 |         15 |
| e:\web_project2\my-yds\src\app\upload-flashcards\page.tsx                 | TypeScript JSX     |        712 |         22 |         64 |        798 |
| e:\web_project2\my-yds\src\components\AdBanner.tsx                        | TypeScript JSX     |         29 |          1 |          4 |         34 |
| e:\web_project2\my-yds\src\components\AdSenseInit.tsx                     | TypeScript JSX     |         23 |          5 |          5 |         33 |
| e:\web_project2\my-yds\src\components\AdSenseScript.tsx                   | TypeScript JSX     |         16 |          1 |          2 |         19 |
| e:\web_project2\my-yds\src\components\AdSenseScriptWrapper.tsx            | TypeScript JSX     |         29 |          3 |          7 |         39 |
| e:\web_project2\my-yds\src\components\AdUnit.tsx                          | TypeScript JSX     |         65 |          9 |         12 |         86 |
| e:\web_project2\my-yds\src\components\CategoryStats.tsx                   | TypeScript JSX     |         16 |          0 |          3 |         19 |
| e:\web_project2\my-yds\src\components\ClientAd.js                         | JavaScript         |         52 |         12 |         15 |         79 |
| e:\web_project2\my-yds\src\components\ClientLayout.tsx                    | TypeScript JSX     |         37 |          4 |          7 |         48 |
| e:\web_project2\my-yds\src\components\ClientOnlyAd.js                     | JavaScript         |         50 |          6 |         11 |         67 |
| e:\web_project2\my-yds\src\components\ClientScript.tsx                    | TypeScript JSX     |          5 |          0 |          3 |          8 |
| e:\web_project2\my-yds\src\components\ContinueStudying.js                 | JavaScript         |         90 |          2 |         16 |        108 |
| e:\web_project2\my-yds\src\components\FirebaseStatus.tsx                  | TypeScript JSX     |         25 |          2 |          5 |         32 |
| e:\web_project2\my-yds\src\components\FlashCard.tsx                       | TypeScript JSX     |        297 |         34 |         46 |        377 |
| e:\web_project2\my-yds\src\components\HydrationSafePage.js                | JavaScript         |         22 |          3 |          6 |         31 |
| e:\web_project2\my-yds\src\components\Layout.js                           | JavaScript         |         28 |          0 |          3 |         31 |
| e:\web_project2\my-yds\src\components\Navbar.js                           | JavaScript         |         11 |          0 |          2 |         13 |
| e:\web_project2\my-yds\src\components\NavigationBar.tsx                   | TypeScript JSX     |        459 |         23 |         32 |        514 |
| e:\web_project2\my-yds\src\components\Quiz.tsx                            | TypeScript JSX     |        183 |          5 |         18 |        206 |
| e:\web_project2\my-yds\src\components\SafeSVG.js                          | JavaScript         |         30 |          3 |          4 |         37 |
| e:\web_project2\my-yds\src\components\SomeComponentWithSVG.js             | JavaScript         |         18 |          3 |          4 |         25 |
| e:\web_project2\my-yds\src\components\ThemeSelector.tsx                   | TypeScript JSX     |         22 |          1 |          3 |         26 |
| e:\web_project2\my-yds\src\components\VocabularyList2.tsx                 | TypeScript JSX     |        482 |          4 |         12 |        498 |
| e:\web_project2\my-yds\src\components\WordCard.js                         | JavaScript         |         34 |          3 |          8 |         45 |
| e:\web_project2\my-yds\src\components\WordList.tsx                        | TypeScript JSX     |        227 |         24 |         30 |        281 |
| e:\web_project2\my-yds\src\components\auth\LoginForm.tsx                  | TypeScript JSX     |        115 |          2 |         14 |        131 |
| e:\web_project2\my-yds\src\components\auth\ProfileInfo.tsx                | TypeScript JSX     |         62 |          1 |          8 |         71 |
| e:\web_project2\my-yds\src\components\auth\RegisterForm.tsx               | TypeScript JSX     |        127 |          5 |         15 |        147 |
| e:\web_project2\my-yds\src\components\category\CategoryAdditionalInfo.tsx | TypeScript JSX     |         33 |          6 |          4 |         43 |
| e:\web_project2\my-yds\src\components\category\CategoryContent.tsx        | TypeScript JSX     |         73 |          7 |          9 |         89 |
| e:\web_project2\my-yds\src\components\category\CategoryDescription.tsx    | TypeScript JSX     |         64 |          7 |          6 |         77 |
| e:\web_project2\my-yds\src\components\category\CategoryHeader.tsx         | TypeScript JSX     |         14 |          5 |          3 |         22 |
| e:\web_project2\my-yds\src\components\category\ModeSelector.tsx           | TypeScript JSX     |         59 |          7 |          4 |         70 |
| e:\web_project2\my-yds\src\components\category\TestResult.tsx             | TypeScript JSX     |         46 |          5 |          4 |         55 |
| e:\web_project2\my-yds\src\components\category\index.ts                   | TypeScript         |          6 |          4 |          2 |         12 |
| e:\web_project2\my-yds\src\components\flashcards\ExcelUploader.tsx        | TypeScript JSX     |        107 |          2 |         14 |        123 |
| e:\web_project2\my-yds\src\components\flashcards\FlashcardCard.tsx        | TypeScript JSX     |        166 |          2 |         10 |        178 |
| e:\web_project2\my-yds\src\components\flashcards\FlashcardControl.tsx     | TypeScript JSX     |        144 |          3 |         12 |        159 |
